"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3","30pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C2","39pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C4","100pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C5","15pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C6","110pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C7","12pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C8","10pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C9","3.3 - 18pF","~","LocalFP:GenericTrim2","1",""
"C10,C11,C12,C14,C15,C16,C17,C18,C19,C20,C21","100nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","11",""
"C13","22uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1",""
"D1","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D2","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","Conn_02x07_Top_Bottom","~","Package_DIP:DIP-14_W7.62mm","1",""
"J3","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J4","Video","","LocalFP:SWITCHCRAFT_PJRAN1X1U04X","1",""
"L1","18uH","~","Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP","1",""
"P1","Cosmac VIP Edge","","LocalFP:CosmacVIPEdge","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Wide","1",""
"R1,R2","2.7K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R3","510","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4","360","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R5,R18","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R6","1.5K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R7","3.9K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R8,R15","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R9,R14","2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R10","3.3K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R11","10M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R12","75","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R13","330","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R16","30","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R17","200","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U1","CDP1861","","Package_DIP:DIP-24_W15.24mm","1",""
"U2","CDP1862","","Package_DIP:DIP-24_W15.24mm","1",""
"U3","CDP1822","","Package_DIP:DIP-22_W10.16mm","1",""
"U4,U9","4042","CD4042","Package_DIP:DIP-16_W7.62mm","2",""
"U5","4028","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4028bms.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U6,U10","4081","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4073bms-81bms-82bms.pdf","Package_DIP:DIP-14_W7.62mm","2",""
"U7","4069","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4069ubms.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U8","4013","http://www.onsemi.com/pub/Collateral/MC14013B-D.PDF","Package_DIP:DIP-14_W7.62mm","1",""
"U11","4050","http://www.intersil.com/content/dam/intersil/documents/cd40/cd4050bms.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"Y1","7.15909 MHz","~","Crystal:Crystal_HC49-U_Vertical","1",""
